   [1]radialPos       [2]xCoord       [3]yCoord       [4]zCoord          [5]aoa      [6]aoaGeom     [7]reynolds    [8]relVelMag  [9]fnMagPerSpn [10]faMagPerSpn   [11]fnVectorX   [12]fnVectorY          [13]cl          [14]cd 
   3.482927e-01    5.497212e-02   -1.936514e+00    5.152386e-01    6.074667e+01    6.490982e+01    1.968493e+06    9.835648e+00   -2.136009e+01    7.636905e+01   -3.132918e+00    2.112909e+01    0.000000e+00    5.000000e-01 
   1.746585e+00    5.107377e-02   -3.286817e+00    3.154739e-01    5.139641e+01    5.701404e+01    2.251405e+06    1.043934e+01   -4.098951e+01    8.716521e+01   -6.011995e+00    4.054622e+01    0.000000e+00    5.000000e-01 
   4.197439e+00    4.697271e-02   -5.653512e+00   -3.497272e-02    3.788644e+01    4.488144e+01    2.828920e+06    1.207034e+01   -8.793219e+01    1.090698e+02   -1.289715e+01    8.698123e+01    0.000000e+00    5.000000e-01 
   7.173293e+00    4.320498e-02   -8.527158e+00   -4.606261e-01    2.617344e+01    3.347067e+01    3.745936e+06    1.469256e+01   -1.224272e+02    1.002792e+02   -1.795658e+01    1.211032e+02    0.000000e+00    3.500000e-01 
   1.067415e+01    3.927159e-02   -1.190778e+01   -9.613237e-01    1.737494e+01    2.424730e+01    5.001596e+06    1.828186e+01    5.673969e+02    1.085771e+03    8.322098e+01   -5.612606e+02    1.625298e+00    7.341978e-02 
   1.470000e+01    3.504121e-02   -1.579540e+01   -1.536925e+00    1.178002e+01    1.794455e+01    6.356574e+06    2.275330e+01    7.532106e+02    1.790633e+03    1.104746e+02   -7.450649e+02    1.630902e+00    1.724258e-02 
   1.890000e+01    3.168268e-02   -1.985117e+01   -2.137542e+00    8.638270e+00    1.408579e+01    7.491167e+06    2.761238e+01    7.481083e+02    2.250244e+03    1.097262e+02   -7.400177e+02    1.392081e+00    1.071238e-02 
   2.310000e+01    2.949244e-02   -2.390690e+01   -2.738397e+00    6.698129e+00    1.151673e+01    8.392293e+06    3.257002e+01    6.846494e+02    2.506883e+03    1.004186e+02   -6.772450e+02    1.154466e+00    8.477377e-03 
   2.730000e+01    2.709969e-02   -2.796263e+01   -3.339280e+00    5.657461e+00    9.937847e+00    9.137178e+06    3.758003e+01    7.123519e+02    3.091673e+03    1.044817e+02   -7.046480e+02    1.121963e+00    9.263246e-03 
   3.150000e+01    2.438434e-02   -3.201836e+01   -3.940191e+00    5.212071e+00    9.032682e+00    9.706953e+06    4.262173e+01    7.172989e+02    3.587270e+03    1.052073e+02   -7.095415e+02    1.073706e+00    8.689334e-03 
   3.570000e+01    2.135690e-02   -3.607407e+01   -4.541151e+00    5.138666e+00    8.547204e+00    1.013819e+07    4.768556e+01    7.662928e+02    4.338417e+03    1.123933e+02   -7.580055e+02    1.106563e+00    9.276841e-03 
   3.990000e+01    1.801684e-02   -4.012978e+01   -5.142169e+00    5.312645e+00    8.343065e+00    1.043163e+07    5.276685e+01    8.012239e+02    5.039848e+03    1.175167e+02   -7.925589e+02    1.125759e+00    9.426102e-03 
   4.410000e+01    1.471964e-02   -4.418548e+01   -5.743272e+00    5.582264e+00    8.250392e+00    1.057466e+07    5.786201e+01    8.184558e+02    5.575251e+03    1.200442e+02   -8.096044e+02    1.118305e+00    7.831468e-03 
   4.830000e+01    1.171234e-02   -4.824116e+01   -6.344456e+00    5.864542e+00    8.165291e+00    1.056724e+07    6.296779e+01    8.480551e+02    6.214464e+03    1.243855e+02   -8.388836e+02    1.144605e+00    8.172259e-03 
   5.232585e+01    8.605049e-03   -5.212868e+01   -6.920757e+00    6.224188e+00    8.155457e+00    1.042722e+07    6.786906e+01    8.790536e+02    6.802916e+03    1.289321e+02   -8.695469e+02    1.176997e+00    8.603556e-03 
   5.582671e+01    5.371978e-03   -5.550923e+01   -7.421933e+00    6.642810e+00    8.239181e+00    1.015693e+07    7.213577e+01    9.056071e+02    7.266621e+03    1.328268e+02   -8.958132e+02    1.213641e+00    9.112405e-03 
   5.880000e+01    2.968543e-03   -5.838035e+01   -7.847616e+00    6.949060e+00    8.261843e+00    9.287527e+06    7.576221e+01    8.665211e+02    7.125574e+03    1.270940e+02   -8.571499e+02    1.238735e+00    9.540493e-03 
   6.124829e+01    1.772336e-03   -6.074450e+01   -8.198153e+00    7.094037e+00    8.179789e+00    6.962295e+06    7.874994e+01    6.663094e+02    5.578466e+03    9.772862e+01   -6.591034e+02    1.244259e+00    9.916970e-03 
   6.264915e+01    7.038778e-04   -6.209721e+01   -8.398724e+00    7.167133e+00    8.130277e+00    4.378178e+06    8.045997e+01    4.229226e+02    3.577808e+03    6.203071e+01   -4.183488e+02    1.241877e+00    1.017148e-02 
