   [1]radialPos        [2]errFn        [3]errFa 
   0.000000e+00            -Inf             Inf 
   6.363636e-01    1.907588e-01    7.737639e-01 
   1.272727e+00   -1.934500e-01   -5.745636e-02 
   1.909091e+00   -2.123597e-01   -2.441110e-01 
   2.545455e+00   -1.188581e-01   -2.687475e-01 
   3.181818e+00   -6.753270e-02   -2.801895e-01 
   3.818182e+00   -3.898245e-02   -2.817896e-01 
   4.454545e+00   -6.229193e-02   -3.036311e-01 
   5.090909e+00   -1.134691e-01   -3.468215e-01 
   5.727273e+00   -1.568796e-01   -3.841962e-01 
   6.363636e+00   -1.544941e-01   -3.887782e-01 
   7.000000e+00   -1.462903e-01   -3.881528e-01 
   7.636364e+00   -7.821444e-01    3.487269e-01 
   8.272727e+00   -1.688029e+00    1.294570e+00 
   8.909091e+00   -3.285770e+00    1.369935e+00 
   9.545455e+00   -1.317697e+01    1.134210e+00 
   1.018182e+01    8.937394e+00    9.696372e-01 
   1.081818e+01    2.344091e+00    6.785474e-01 
   1.145455e+01    1.041075e+00    4.515701e-01 
   1.209091e+01    5.814618e-01    3.177994e-01 
   1.272727e+01    3.713414e-01    2.344038e-01 
   1.336364e+01    2.229352e-01    1.709872e-01 
   1.400000e+01    1.355686e-01    1.031902e-01 
   1.463636e+01    7.810260e-02    4.075818e-02 
   1.527273e+01   -5.961540e-03   -2.824639e-02 
   1.590909e+01   -4.087281e-02   -5.448442e-02 
   1.654545e+01   -4.507495e-02   -5.595291e-02 
   1.718182e+01   -4.924413e-02   -5.731682e-02 
   1.781818e+01   -5.163516e-02   -5.717546e-02 
   1.845455e+01   -5.145787e-02   -5.503262e-02 
   1.909091e+01   -5.463057e-02   -5.677852e-02 
   1.972727e+01   -6.562899e-02   -6.701241e-02 
   2.036364e+01   -7.663691e-02   -7.717462e-02 
   2.100000e+01   -8.765891e-02   -8.678452e-02 
   2.163636e+01   -9.869503e-02   -9.588594e-02 
   2.227273e+01   -1.104703e-01   -1.060244e-01 
   2.290909e+01   -1.226181e-01   -1.163843e-01 
   2.354545e+01   -1.228698e-01   -1.145915e-01 
   2.418182e+01   -1.182616e-01   -1.086389e-01 
   2.481818e+01   -1.152609e-01   -1.069786e-01 
   2.545455e+01   -1.122762e-01   -1.054161e-01 
   2.609091e+01   -1.093072e-01   -1.039430e-01 
   2.672727e+01   -1.072576e-01   -1.043423e-01 
   2.736364e+01   -1.064336e-01   -1.066624e-01 
   2.800000e+01   -1.090574e-01   -1.119392e-01 
   2.863636e+01   -1.116574e-01   -1.169114e-01 
   2.927273e+01   -1.116059e-01   -1.185406e-01 
   2.990909e+01   -1.111368e-01   -1.196159e-01 
   3.054545e+01   -1.106687e-01   -1.206417e-01 
   3.118182e+01   -1.102160e-01   -1.220540e-01 
   3.181818e+01   -1.058084e-01   -1.208446e-01 
   3.245455e+01   -9.739083e-02   -1.152223e-01 
   3.309091e+01   -8.899274e-02   -1.098647e-01 
   3.372727e+01   -8.081463e-02   -1.059908e-01 
   3.436364e+01   -7.288615e-02   -1.036615e-01 
   3.500000e+01   -6.498331e-02   -1.014469e-01 
   3.563636e+01   -5.710597e-02   -9.933875e-02 
   3.627273e+01   -5.101821e-02   -9.807788e-02 
   3.690909e+01   -4.503955e-02   -9.685412e-02 
   3.754545e+01   -3.907089e-02   -9.568336e-02 
   3.818182e+01   -3.304867e-02   -9.459057e-02 
   3.881818e+01   -2.657365e-02   -9.374411e-02 
   3.945455e+01   -2.010245e-02   -9.293247e-02 
   4.009091e+01   -1.470217e-02   -9.356437e-02 
   4.072727e+01   -1.167971e-02   -9.334742e-02 
   4.136364e+01   -8.551016e-03   -8.937852e-02 
   4.200000e+01   -5.422761e-03   -8.549631e-02 
   4.263636e+01   -2.294946e-03   -8.169800e-02 
   4.327273e+01   -6.948119e-05   -7.846162e-02 
   4.390909e+01    2.140706e-03   -7.530276e-02 
   4.454545e+01    6.056918e-03   -7.031219e-02 
   4.518182e+01    1.146334e-02   -6.696070e-02 
   4.581818e+01    1.748622e-02   -6.554752e-02 
   4.645455e+01    2.351375e-02   -6.417637e-02 
   4.709091e+01    2.961135e-02   -6.283104e-02 
   4.772727e+01    3.592608e-02   -6.147901e-02 
   4.836364e+01    4.225156e-02   -6.024489e-02 
   4.900000e+01    4.862976e-02   -5.973535e-02 
   4.963636e+01    5.539419e-02   -5.896631e-02 
   5.027273e+01    6.217263e-02   -5.821773e-02 
   5.090909e+01    6.897248e-02   -5.748203e-02 
   5.154545e+01    7.604536e-02   -5.653132e-02 
   5.218182e+01    8.313645e-02   -5.560445e-02 
   5.281818e+01    8.993596e-02   -5.563785e-02 
   5.345455e+01    9.692203e-02   -5.569431e-02 
   5.409091e+01    1.039304e-01   -5.574944e-02 
   5.472727e+01    1.111746e-01   -5.557901e-02 
   5.536364e+01    1.186559e-01   -5.519482e-02 
   5.600000e+01    1.216731e-01   -5.869500e-02 
   5.663636e+01    1.141927e-01   -6.836948e-02 
   5.727273e+01    1.066580e-01   -7.793339e-02 
   5.790909e+01    9.995346e-02   -8.589845e-02 
   5.854545e+01    9.341289e-02   -9.342584e-02 
   5.918182e+01    6.832946e-02   -1.016797e-01 
   5.981818e+01    2.375540e-02   -1.223373e-01 
   6.045455e+01   -6.332845e-03   -1.278958e-01 
   6.109091e+01   -3.264331e-02   -1.303242e-01 
   6.172727e+01   -1.003675e-01   -1.693137e-01 
   6.236364e+01   -1.273171e-01   -1.557761e-01 
   6.300000e+01   -1.061755e-01   -8.886351e-02 
