   [1]radialPos           [2]Fa           [3]Fn  [4]inflowAngle          [5]aoa        [6]twist           [7]re           [8]cl           [9]cd        [10]vLoc      [11]cn(ca)      [12]ct(cn) 
   1.590230e+00    1.111350e+02   -5.272340e+01    6.462000e+01    5.154000e+01    1.308000e+01    2.184550e+06    0.000000e+00    5.000000e-01    1.116420e+01    4.517430e-01   -2.143100e-01 
   1.860380e+00    1.167680e+02   -5.501920e+01    6.477090e+01    5.169090e+01    1.308000e+01    2.261210e+06    0.000000e+00    5.000000e-01    1.131850e+01    4.523050e-01   -2.131190e-01 
   2.308870e+00    1.252700e+02   -6.000710e+01    6.440450e+01    5.132450e+01    1.308000e+01    2.385240e+06    0.000000e+00    5.000000e-01    1.154600e+01    4.509330e-01   -2.160070e-01 
   2.933060e+00    1.360760e+02   -6.898820e+01    6.311580e+01    5.003580e+01    1.308000e+01    2.552870e+06    0.000000e+00    5.000000e-01    1.184900e+01    4.459610e-01   -2.260940e-01 
   3.729300e+00    1.462480e+02   -8.154220e+01    6.085760e+01    4.777760e+01    1.308000e+01    2.708230e+06    0.000000e+00    5.000000e-01    1.225870e+01    4.367060e-01   -2.434910e-01 
   4.692910e+00    1.588820e+02   -1.011170e+02    5.752630e+01    4.444630e+01    1.308000e+01    2.914840e+06    0.000000e+00    5.000000e-01    1.281030e+01    4.218190e-01   -2.684560e-01 
   5.818230e+00    1.709230e+02   -1.265100e+02    5.349270e+01    4.041270e+01    1.308000e+01    3.188260e+06    0.000000e+00    4.880090e-01    1.354910e+01    3.922520e-01   -2.903290e-01 
   7.098670e+00    1.643150e+02   -1.412130e+02    4.932410e+01    3.624410e+01    1.308000e+01    3.544700e+06    0.000000e+00    4.176550e-01    1.450760e+01    3.167530e-01   -2.722190e-01 
   8.526710e+00    1.808550e+02   -1.371140e+02    4.468100e+01    3.160100e+01    1.308000e+01    3.992430e+06    5.090710e-02    3.553910e-01    1.569650e+01    2.860930e-01   -2.168990e-01 
   1.009400e+01    4.538350e+02    3.019420e+01    3.829340e+01    2.521340e+01    1.308000e+01    4.531620e+06    4.795990e-01    3.294600e-01    1.710010e+01    5.805740e-01    3.862630e-02 
   1.179120e+01    9.346400e+02    3.619620e+02    3.188370e+01    1.881980e+01    1.306390e+01    5.168480e+06    1.009860e+00    1.910630e-01    1.870420e+01    9.584090e-01    3.711670e-01 
   1.360860e+01    1.388800e+03    6.002320e+02    2.698790e+01    1.463310e+01    1.235470e+01    5.730510e+06    1.272030e+00    8.034480e-02    2.053430e+01    1.169970e+00    5.056520e-01 
   1.553530e+01    1.989330e+03    7.877780e+02    2.227650e+01    1.067370e+01    1.160280e+01    6.353350e+06    1.481590e+00    1.739760e-02    2.253110e+01    1.377610e+00    5.455360e-01 
   1.756010e+01    2.237560e+03    7.977110e+02    2.016780e+01    9.238420e+00    1.092940e+01    6.885800e+06    1.378370e+00    1.313990e-02    2.480980e+01    1.298380e+00    4.628870e-01 
   1.967110e+01    2.468570e+03    7.960380e+02    1.841740e+01    8.167620e+00    1.024980e+01    7.395720e+06    1.276100e+00    1.212740e-02    2.724250e+01    1.214570e+00    3.916620e-01 
   2.185600e+01    2.712750e+03    7.942920e+02    1.686260e+01    7.236730e+00    9.625860e+00    7.890630e+06    1.191550e+00    1.128380e-02    2.980100e+01    1.143590e+00    3.348430e-01 
   2.410180e+01    2.988790e+03    7.959850e+02    1.543710e+01    6.441470e+00    8.995630e+00    8.368780e+06    1.128550e+00    1.032240e-02    3.246230e+01    1.090580e+00    2.904470e-01 
   2.639550e+01    3.327360e+03    8.036540e+02    1.408390e+01    5.768540e+00    8.315370e+00    8.786120e+06    1.097020e+00    9.676250e-03    3.520360e+01    1.066400e+00    2.575660e-01 
   2.872350e+01    3.718350e+03    8.171530e+02    1.283270e+01    5.212710e+00    7.620020e+00    9.163080e+06    1.083630e+00    8.289670e-03    3.800650e+01    1.058410e+00    2.325980e-01 
   3.107220e+01    4.056170e+03    8.203940e+02    1.185800e+01    4.954650e+00    6.903380e+00    9.483160e+06    1.058650e+00    7.829160e-03    4.086090e+01    1.037660e+00    2.098760e-01 
   3.342780e+01    4.438100e+03    8.239300e+02    1.095000e+01    4.745820e+00    6.204160e+00    9.765300e+06    1.047650e+00    7.913730e-03    4.373660e+01    1.030070e+00    1.912320e-01 
   3.577650e+01    4.867610e+03    8.288660e+02    1.010230e+01    4.575850e+00    5.526470e+00    1.000890e+07    1.049080e+00    8.030700e-03    4.661410e+01    1.034220e+00    1.761090e-01 
