time,root_dist,x,y,z,rel_vel_mag,Re,alpha_deg,alpha_geom_deg,cl,cd,fx,fy,fz,end_effect_factor
47.05,0.933333333333,0.00296854269162,-2.92945499029,58.832544359,75.6129304852,9269227.08768,7.02049631232,8.26184288617,1.24467816365,0.00962670355011,19466.3132121,-2386.57271602,-149.315115813,1
47.1,0.933333333333,0.00296854269162,-6.64715247051,58.5291837148,75.6147292078,9269447.58923,6.87410586144,8.26184288617,1.23218360227,0.00944911985121,19277.6438234,-2301.03066719,-291.021259731,1
47.15,0.933333333333,0.00296854269162,-10.3381963946,57.9911344741,75.6153342265,9269521.75718,6.7674393111,8.26184288617,1.22291787423,0.00931721901536,19137.1193893,-2226.85048971,-426.263934916,1
47.2,0.933333333333,0.00296854269162,-13.9877865233,57.2205540909,75.6152518114,9269511.65409,6.69527621323,8.26184288617,1.21664920919,0.00922798822307,19041.726312,-2161.55657433,-557.60460184,1
47.25,0.933333333333,0.00296854269162,-17.5812888378,56.2205324156,75.6140008218,9269358.29795,6.64766217816,8.26184288617,1.21251281646,0.00916912110616,18978.1488985,-2100.06633618,-686.141765782,1
47.3,0.933333333333,0.00296854269162,-21.1042942182,54.9950793057,75.6103395597,9268909.47167,6.62712276187,8.26184288617,1.21072783571,0.00914374875302,18949.1420554,-2043.07219199,-813.949938118,1
47.35,0.933333333333,0.00296854269162,-24.5426762214,53.5491085471,75.6050233463,9268257.76847,6.61290448164,8.26184288617,1.20949163117,0.00912620333841,18927.6610751,-1981.02390294,-938.573990486,1
47.4,0.933333333333,0.00296854269162,-27.8826477245,51.8884181505,75.5976961025,9267359.53736,6.61447294891,8.26184288617,1.20962634815,0.00912819293754,18926.0421837,-1917.93073955,-1062.2294035,1
47.45,0.933333333333,0.00296854269162,-31.1108162082,50.0196671035,75.5892983669,9266330.07695,6.62015619852,8.26184288617,1.2101182586,0.00913527868382,18929.3213359,-1848.733618,-1182.68952135,1
47.5,0.933333333333,0.00296854269162,-34.2142374577,47.950348669,75.5803766213,9265236.37927,6.65367285786,8.26184288617,1.21302768147,0.00917679127174,18969.1011365,-1782.71257066,-1306.5225637,1
47.55,0.933333333333,0.00296854269162,-37.1804674657,45.6887603391,75.5728720238,9264316.40675,6.69489907041,8.26184288617,1.21660695544,0.00922783226657,19019.7422082,-1711.32933455,-1429.16939697,1
47.6,0.933333333333,0.00296854269162,-39.9976123307,43.2439705639,75.5678429727,9263699.90616,6.75035514729,8.26184288617,1.22142267372,0.00929645800737,19090.3747916,-1636.66754098,-1552.86635121,1
47.65,0.933333333333,0.00296854269162,-42.6543759481,40.6257823896,75.5666354243,9263551.87539,6.82176580513,8.26184288617,1.22762501353,0.00938478956358,19183.9421827,-1558.67574722,-1678.74385249,1
47.7,0.933333333333,0.00296854269162,-45.1401053055,37.8446941499,75.5710931818,9264098.34232,6.90138673021,8.26184288617,1.23454194143,0.00948322821715,19291.179173,-1474.14264559,-1804.45608366,1
47.75,0.933333333333,0.00296854269162,-47.4448331984,34.9118573706,75.579775045,9265162.63333,6.97772727258,8.26184288617,1.24117524263,0.00957756718798,19396.237452,-1379.23447941,-1925.22211856,1
47.8,0.933333333333,0.00296854269162,-49.559318197,31.8390320541,75.5923146804,9266699.84036,7.05043100381,8.26184288617,1.24694869375,0.00965887459256,19489.9668361,-1273.66280547,-2039.16792964,1
47.85,0.933333333333,0.00296854269162,-51.4750817015,28.6385395248,75.6082970501,9268659.0848,7.10779366078,8.26184288617,1.25131642919,0.00972000476033,19564.1361627,-1155.62652165,-2140.86827439,1
47.9,0.933333333333,0.00296854269162,-53.1844419399,25.3232130235,75.626161499,9270849.0493,7.15539539318,8.26184288617,1.25494320968,0.0097706841516,19628.1250849,-1027.91208241,-2231.6667304,1
47.95,0.933333333333,0.00296854269162,-54.6805447698,21.9063462487,75.6450022599,9273158.6978,7.18360933716,8.26184288617,1.25709622509,0.00980063927292,19670.4100433,-889.974233946,-2306.1742958,1
48,0.933333333333,0.00296854269162,-55.9573911623,18.401640052,75.664966373,9275606.05563,7.21185178227,8.26184288617,1.25925232381,0.00983061052091,19713.3534375,-746.74613161,-2372.24421539,1
48.05,0.933333333333,0.00296854269162,-57.0098612562,14.8231475012,75.6845364879,9278005.11408,7.22004296255,8.26184288617,1.25988303511,0.00983916647446,19733.0824173,-596.372851806,-2419.89442491,1
48.1,0.933333333333,0.00296854269162,-57.833734888,11.1852175302,75.7048242665,9280492.14937,7.22808399098,8.26184288617,1.2605027446,0.00984755398488,19753.0316246,-442.953984811,-2457.98422172,1
48.15,0.933333333333,0.00296854269162,-58.4257085134,7.50243740348,75.7254455437,9283020.06755,7.23318387944,8.26184288617,1.26089888025,0.0098527962724,19769.7872361,-286.94027434,-2484.93813093,1
48.2,0.933333333333,0.00296854269162,-58.7834084542,3.7895742243,75.745979639,9285537.29829,7.22795582048,8.26184288617,1.2605089072,0.00984700996241,19774.6151792,-129.030245153,-2496.93939532,1
48.25,0.933333333333,0.00296854269162,-58.9054004155,0.06151572204,75.7674041725,9288163.68593,7.22470402173,8.26184288617,1.26026963158,0.00984332575844,19782.1854461,29.2604924602,-2499.94498314,1
