time,x,y,z,rel_vel_mag,alpha_deg,alpha_geom_deg,cl,cd,cm
47.05,0.0246538433123,28.5390372791,-15.0395621376,37.9883377468,12.9998568816,16.9415917578,1.08326513041,0.0828534836065,1.54566516283e-301
47.1,0.0246538433123,29.4336887458,-13.2031452664,37.9749698435,12.7749866321,16.9415917578,1.06249829004,0.0824520070832,1.54566516283e-301
47.15,0.0246538433123,30.2103178744,-11.3137868123,37.9618416584,12.6065021096,16.9415917578,1.04674806523,0.0821573140282,1.54566516283e-301
47.2,0.0246538433123,30.8658105605,-9.37906266921,37.949328179,12.4907287617,16.9415917578,1.03600782213,0.0819453820378,1.54566516283e-301
47.25,0.0246538433123,31.3975384287,-7.40673063689,37.937196331,12.4206704646,16.9415917578,1.02947179022,0.0818248365676,1.54566516283e-301
47.3,0.0246538433123,31.8033693723,-5.40469931428,37.9254817813,12.3863932029,16.9415917578,1.02633037547,0.0817675886938,1.54566516283e-301
47.35,0.0246538433123,32.0816761024,-3.38099638758,37.9143559968,12.3813003523,16.9415917578,1.02612876818,0.0817488832567,1.54566516283e-301
47.4,0.0246538433123,32.2313426727,-1.34373644117,37.9044612278,12.4011103395,16.9415917578,1.02822206018,0.0817793159713,1.54566516283e-301
47.45,0.0246538433123,32.2517689548,0.698911580031,37.8961011205,12.4420029237,16.9415917578,1.03246564576,0.0818384574401,1.54566516283e-301
47.5,0.0246538433123,32.1428730439,2.73875712617,37.8903385393,12.5036408912,16.9415917578,1.0388331381,0.0819236857715,1.54566516283e-301
47.55,0.0246538433123,31.9050915876,4.76762088467,37.8874409383,12.5753823468,16.9415917578,1.04605371117,0.0820364112965,1.54566516283e-301
47.6,0.0246538433123,31.5393780349,6.7773675774,37.8882038199,12.6584744477,16.9415917578,1.05438753462,0.0821633090782,1.54566516283e-301
47.65,0.0246538433123,31.0471988135,8.75993858129,37.8928838363,12.7458330533,16.9415917578,1.06305612026,0.0822979392811,1.54566516283e-301
47.7,0.0246538433123,30.4305274488,10.7073842415,37.9011677109,12.8317339407,16.9415917578,1.07161815423,0.0824287873092,1.54566516283e-301
47.75,0.0246538433123,29.6918366518,12.6118957479,37.9128417988,12.9137774777,16.9415917578,1.07984958618,0.0825576118616,1.54566516283e-301
47.8,0.0246538433123,28.8340884028,14.4658364462,37.9270495786,12.9855604359,16.9415917578,1.08707914697,0.0826674539647,1.54566516283e-301
47.85,0.0246538433123,27.8607220757,16.2617724597,37.9435317909,13.0458794562,16.9415917578,1.09323526024,0.0827536553907,1.54566516283e-301
47.9,0.0246538433123,26.7756406459,17.9925024972,37.9618881175,13.0949768887,16.9415917578,1.09811249056,0.0828449697591,1.54566516283e-301
47.95,0.0246538433123,25.5831950412,19.6510867281,37.9813561868,13.1307299702,16.9415917578,1.10203849118,0.0829000864739,1.54566516283e-301
48,0.0246538433123,24.2881666946,21.2308746104,38.0012365975,13.1511811549,16.9415917578,1.10465294518,0.0829250602621,1.54566516283e-301
48.05,0.0246538433123,22.8957483728,22.7255315572,38.0208454292,13.1654403568,16.9415917578,1.1065938815,0.0829481550766,1.54566516283e-301
48.1,0.0246538433123,21.4115233537,24.1290643371,38.0403532209,13.1671268875,16.9415917578,1.10738418676,0.0829480092382,1.54566516283e-301
48.15,0.0246538433123,19.841443039,25.4358451057,38.0592287792,13.1588148886,16.9415917578,1.1074326859,0.0829214261576,1.54566516283e-301
48.2,0.0246538433123,18.1918030906,26.6406339719,38.0775231897,13.1430506416,16.9415917578,1.10680834601,0.0828816516464,1.54566516283e-301
48.25,0.0246538433123,16.4692181861,27.7386000088,38.0948672785,13.1205580663,16.9415917578,1.10555378532,0.0828377278299,1.54566516283e-301
48.3,0.0246538433123,14.6805954957,28.7253406246,38.1107417817,13.090166226,16.9415917578,1.10366490629,0.0827803147173,1.54566516283e-301
48.35,0.0246538433123,12.833106986,29.5968992159,38.1255904787,13.0560122048,16.9415917578,1.10133292438,0.0827213828635,1.54566516283e-301
48.4,0.0246538433123,10.934160662,30.3497810326,38.1387525745,13.0174314654,16.9415917578,1.09860843602,0.0826520494665,1.54566516283e-301
48.45,0.0246538433123,8.99137086266,30.9809671915,38.1500036009,12.9744989344,16.9415917578,1.09552383014,0.0825739931207,1.54566516283e-301
