"Velocity Deficit","pMean","nutMean","nut","k","kMean","p","epsilon","force.turbine1:0","force.turbine1:1","force.turbine1:2","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-4.06715e-02,-9.41666e+00,2.98919e+00,2.06164e+00,4.52318e-01,5.29914e-01,-5.81973e+00,9.41647e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17565e+01,-4.75906e-03,-1.79647e-01,1.18625e+01,-2.71984e-02,-1.60258e-01,3.16243e-02,7.58517e-04,2.09350e-03,-5.48460e-04,2.75251e-04,3.99347e-03,1,0.00000e+00,1.89000e+01,0.00000e+00,-8.50000e+01
-4.10370e-02,-9.44052e+00,3.20590e+00,2.22145e+00,4.62436e-01,5.41580e-01,-5.83455e+00,8.98918e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17651e+01,-5.40784e-03,-1.85240e-01,1.18666e+01,-2.82853e-02,-1.64917e-01,2.98752e-02,7.74782e-04,2.22307e-03,-5.51660e-04,2.78091e-04,4.08094e-03,1,1.69998e-01,1.89000e+01,0.00000e+00,-8.48300e+01
-4.12212e-02,-9.46617e+00,3.44393e+00,2.40305e+00,4.73106e-01,5.53467e-01,-5.85070e+00,8.65516e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17710e+01,-6.19894e-03,-1.90543e-01,1.18686e+01,-2.95036e-02,-1.69288e-01,2.84352e-02,7.91570e-04,2.36218e-03,-5.45329e-04,2.80387e-04,4.16084e-03,1,3.39996e-01,1.89000e+01,0.00000e+00,-8.46600e+01
-4.12120e-02,-9.49374e+00,3.70469e+00,2.60788e+00,4.84366e-01,5.65588e-01,-5.86828e+00,8.42056e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17744e+01,-7.14179e-03,-1.95539e-01,1.18685e+01,-3.08621e-02,-1.73353e-01,2.73247e-02,8.08918e-04,2.51145e-03,-5.28836e-04,2.82102e-04,4.23267e-03,1,5.10002e-01,1.89000e+01,0.00000e+00,-8.44900e+01
-4.12028e-02,-9.52130e+00,3.96543e+00,2.81271e+00,4.95625e-01,5.77710e-01,-5.88586e+00,8.18596e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17777e+01,-8.08460e-03,-2.00535e-01,1.18683e+01,-3.22206e-02,-1.77417e-01,2.62144e-02,8.26265e-04,2.66072e-03,-5.12344e-04,2.83817e-04,4.30451e-03,1,6.80000e-01,1.89000e+01,0.00000e+00,-8.43200e+01
-4.11937e-02,-9.54887e+00,4.22618e+00,3.01753e+00,5.06884e-01,5.89831e-01,-5.90344e+00,7.95137e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17810e+01,-9.02742e-03,-2.05530e-01,1.18681e+01,-3.35790e-02,-1.81481e-01,2.51040e-02,8.43612e-04,2.80998e-03,-4.95853e-04,2.85532e-04,4.37634e-03,1,8.49998e-01,1.89000e+01,0.00000e+00,-8.41500e+01
-4.11845e-02,-9.57644e+00,4.48693e+00,3.22236e+00,5.18144e-01,6.01952e-01,-5.92103e+00,7.71677e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17843e+01,-9.97023e-03,-2.10526e-01,1.18680e+01,-3.49375e-02,-1.85545e-01,2.39936e-02,8.60959e-04,2.95925e-03,-4.79361e-04,2.87247e-04,4.44817e-03,1,1.02000e+00,1.89000e+01,0.00000e+00,-8.39800e+01
-4.11691e-02,-9.60408e+00,4.74846e+00,3.42803e+00,5.29420e-01,6.14080e-01,-5.93866e+00,7.48439e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17875e+01,-1.09189e-02,-2.15507e-01,1.18677e+01,-3.63011e-02,-1.89595e-01,2.28918e-02,8.78319e-04,3.10886e-03,-4.62626e-04,2.88987e-04,4.51981e-03,1,1.19000e+00,1.89000e+01,0.00000e+00,-8.38100e+01
-4.08716e-02,-9.63486e+00,5.04531e+00,3.67189e+00,5.41456e-01,6.26490e-01,-5.95849e+00,7.35398e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17868e+01,-1.21321e-02,-2.19815e-01,1.18643e+01,-3.79009e-02,-1.93024e-01,2.21876e-02,8.96214e-04,3.27408e-03,-4.34801e-04,2.91900e-04,4.58217e-03,1,1.36000e+00,1.89000e+01,0.00000e+00,-8.36400e+01
-4.05740e-02,-9.66563e+00,5.34216e+00,3.91575e+00,5.53491e-01,6.38899e-01,-5.97833e+00,7.22357e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.17860e+01,-1.33453e-02,-2.24122e-01,1.18608e+01,-3.95007e-02,-1.96453e-01,2.14834e-02,9.14109e-04,3.43930e-03,-4.06975e-04,2.94813e-04,4.64453e-03,1,1.53000e+00,1.89000e+01,0.00000e+00,-8.34700e+01
