"Velocity Deficit","pMean","nutMean","nut","k","kMean","p","epsilon","force.turbine1:0","force.turbine1:1","force.turbine1:2","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.32695e-01,-4.34606e+00,3.25629e+00,3.95867e+00,1.56980e+00,1.19605e+00,-2.52668e+00,5.68163e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.20962e+00,-1.96010e-01,1.60177e-02,9.88620e+00,-1.45655e-01,1.34809e-02,6.29435e-01,7.16065e-03,9.03075e-05,6.42147e-02,-4.14932e-04,-3.96557e-03,1,0.00000e+00,3.15000e+02,0.00000e+00,-8.50000e+01
1.32444e-01,-4.34533e+00,3.40404e+00,4.12693e+00,1.58771e+00,1.20941e+00,-2.52570e+00,5.55057e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.21199e+00,-1.95649e-01,1.64900e-02,9.88906e+00,-1.45363e-01,1.38453e-02,6.29442e-01,7.12452e-03,9.45959e-05,6.40667e-02,-4.27406e-04,-4.09148e-03,1,1.69998e-01,3.15000e+02,0.00000e+00,-8.48300e+01
1.32239e-01,-4.34462e+00,3.55438e+00,4.29587e+00,1.60444e+00,1.22186e+00,-2.52473e+00,5.43775e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.21390e+00,-1.95284e-01,1.69520e-02,9.89140e+00,-1.45067e-01,1.41994e-02,6.29426e-01,7.08876e-03,9.90166e-05,6.39168e-02,-4.39467e-04,-4.21552e-03,1,3.39996e-01,3.15000e+02,0.00000e+00,-8.46600e+01
1.32081e-01,-4.34391e+00,3.70750e+00,4.46554e+00,1.61991e+00,1.23332e+00,-2.52377e+00,5.34437e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.21531e+00,-1.94914e-01,1.74030e-02,9.89320e+00,-1.44765e-01,1.45424e-02,6.29386e-01,7.05341e-03,1.03579e-04,6.37649e-02,-4.51088e-04,-4.33756e-03,1,5.10002e-01,3.15000e+02,0.00000e+00,-8.44900e+01
1.31923e-01,-4.34320e+00,3.86062e+00,4.63520e+00,1.63539e+00,1.24479e+00,-2.52281e+00,5.25100e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.21673e+00,-1.94544e-01,1.78540e-02,9.89501e+00,-1.44464e-01,1.48855e-02,6.29347e-01,7.01806e-03,1.08141e-04,6.36131e-02,-4.62708e-04,-4.45960e-03,1,6.80000e-01,3.15000e+02,0.00000e+00,-8.43200e+01
1.31766e-01,-4.34248e+00,4.01373e+00,4.80486e+00,1.65086e+00,1.25625e+00,-2.52185e+00,5.15763e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.21814e+00,-1.94174e-01,1.83050e-02,9.89681e+00,-1.44162e-01,1.52285e-02,6.29308e-01,6.98271e-03,1.12703e-04,6.34613e-02,-4.74328e-04,-4.58164e-03,1,8.49998e-01,3.15000e+02,0.00000e+00,-8.41500e+01
1.31608e-01,-4.34177e+00,4.16685e+00,4.97452e+00,1.66634e+00,1.26772e+00,-2.52089e+00,5.06425e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.21956e+00,-1.93804e-01,1.87559e-02,9.89861e+00,-1.43860e-01,1.55715e-02,6.29268e-01,6.94735e-03,1.17265e-04,6.33094e-02,-4.85948e-04,-4.70368e-03,1,1.02000e+00,3.15000e+02,0.00000e+00,-8.39800e+01
1.31451e-01,-4.34106e+00,4.32006e+00,5.14420e+00,1.68178e+00,1.27916e+00,-2.51993e+00,4.97137e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.22096e+00,-1.93434e-01,1.92065e-02,9.90040e+00,-1.43558e-01,1.59142e-02,6.29230e-01,6.91202e-03,1.21831e-04,6.31576e-02,-4.97551e-04,-4.82565e-03,1,1.19000e+00,3.15000e+02,0.00000e+00,-8.38100e+01
1.31351e-01,-4.34037e+00,4.47775e+00,5.31442e+00,1.69542e+00,1.28920e+00,-2.51900e+00,4.90100e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.22175e+00,-1.93059e-01,1.96371e-02,9.90155e+00,-1.43251e-01,1.62372e-02,6.29230e-01,6.87752e-03,1.26608e-04,6.30082e-02,-5.08357e-04,-4.94406e-03,1,1.36000e+00,3.15000e+02,0.00000e+00,-8.36400e+01
1.31251e-01,-4.33968e+00,4.63544e+00,5.48464e+00,1.70907e+00,1.29924e+00,-2.51806e+00,4.83063e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.22253e+00,-1.92683e-01,2.00678e-02,9.90269e+00,-1.42944e-01,1.65602e-02,6.29230e-01,6.84302e-03,1.31384e-04,6.28587e-02,-5.19162e-04,-5.06246e-03,1,1.53000e+00,3.15000e+02,0.00000e+00,-8.34700e+01
1.31151e-01,-4.33898e+00,4.79312e+00,5.65487e+00,1.72272e+00,1.30928e+00,-2.51713e+00,4.76026e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.22332e+00,-1.92308e-01,2.04984e-02,9.90384e+00,-1.42636e-01,1.68832e-02,6.29229e-01,6.80852e-03,1.36160e-04,6.27092e-02,-5.29967e-04,-5.18087e-03,1,1.70000e+00,3.15000e+02,0.00000e+00,-8.33000e+01
1.31051e-01,-4.33829e+00,4.95082e+00,5.82509e+00,1.73636e+00,1.31931e+00,-2.51619e+00,4.68989e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.22411e+00,-1.91933e-01,2.09290e-02,9.90498e+00,-1.42329e-01,1.72062e-02,6.29229e-01,6.77402e-03,1.40937e-04,6.25597e-02,-5.40773e-04,-5.29928e-03,1,1.87000e+00,3.15000e+02,0.00000e+00,-8.31300e+01
1.30951e-01,-4.33760e+00,5.10850e+00,5.99532e+00,1.75001e+00,1.32935e+00,-2.51526e+00,4.61952e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.22489e+00,-1.91557e-01,2.13597e-02,9.90613e+00,-1.42022e-01,1.75293e-02,6.29229e-01,6.73952e-03,1.45713e-04,6.24102e-02,-5.51578e-04,-5.41768e-03,1,2.04000e+00,3.15000e+02,0.00000e+00,-8.29600e+01
1.30869e-01,-4.33691e+00,5.26804e+00,6.16554e+00,1.76299e+00,1.33887e+00,-2.51434e+00,4.55623e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.22548e+00,-1.91180e-01,2.17811e-02,9.90707e+00,-1.41713e-01,1.78434e-02,6.29259e-01,6.70543e-03,1.50564e-04,6.22627e-02,-5.62021e-04,-5.53448e-03,1,2.21000e+00,3.15000e+02,0.00000e+00,-8.27900e+01
1.30807e-01,-4.33624e+00,5.42968e+00,6.33577e+00,1.77520e+00,1.34779e+00,-2.51343e+00,4.50102e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.22583e+00,-1.90802e-01,2.21921e-02,9.90777e+00,-1.41403e-01,1.81474e-02,6.29322e-01,6.67181e-03,1.55502e-04,6.21174e-02,-5.72051e-04,-5.64944e-03,1,2.38000e+00,3.15000e+02,0.00000e+00,-8.26200e+01
1.30746e-01,-4.33556e+00,5.59134e+00,6.50601e+00,1.78741e+00,1.35672e+00,-2.51252e+00,4.44582e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.22618e+00,-1.90424e-01,2.26031e-02,9.90848e+00,-1.41092e-01,1.84513e-02,6.29385e-01,6.63819e-03,1.60439e-04,6.19722e-02,-5.82081e-04,-5.76440e-03,1,2.55000e+00,3.15000e+02,0.00000e+00,-8.24500e+01
1.30684e-01,-4.33489e+00,5.75298e+00,6.67625e+00,1.79962e+00,1.36564e+00,-2.51161e+00,4.39062e-02,0.00000e+00,0.00000e+00,0.00000e+00,9.22653e+00,-1.90045e-01,2.30141e-02,9.90918e+00,-1.40782e-01,1.87553e-02,6.29449e-01,6.60457e-03,1.65376e-04,6.18269e-02,-5.92111e-04,-5.87935e-03,1,2.72000e+00,3.15000e+02,0.00000e+00,-8.22800e+01
