AeroDyn airfoil file Created with QBlade v0.963 64bit on 26.04.2018 at 19:35:40 Compatible with AeroDyn v13.0.
Polar "T1_Re0.750_M0.00_N9.0" on Foil "DU99W350LM" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
36.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.58          Angle of attack for zero Cn for linear Cn curve (deg)
7.64434        Cn slope for zero lift for linear Cn curve (1/rad)
-0.6549        Cn at stall value for positive angle of attack for linear Cn curve
-0.7382        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0128         Minimum CD value
    -25.00   -1.2212    0.1514
    -24.00   -1.2018    0.1417
    -23.00   -1.1744    0.1330
    -22.00   -1.1541    0.1234
    -21.00   -1.1333    0.1139
    -20.00   -1.1237    0.1032
    -19.00   -1.1331    0.0906
    -18.00   -1.1121    0.0815
    -17.00   -1.0923    0.0725
    -16.00   -1.0743    0.0641
    -15.00   -1.0508    0.0563
    -14.00   -1.0250    0.0487
    -13.00   -0.9737    0.0434
    -12.00   -0.9217    0.0383
    -11.00   -0.8610    0.0339
    -10.00   -0.8035    0.0294
     -9.00   -0.7435    0.0252
     -8.00   -0.6581    0.0230
     -7.00   -0.5839    0.0203
     -6.00   -0.5106    0.0179
     -5.00   -0.4255    0.0165
     -4.00   -0.3178    0.0151
     -3.00   -0.1915    0.0140
     -2.00   -0.0587    0.0134
     -1.00    0.0796    0.0130
      0.00    0.2138    0.0128
      1.00    0.3446    0.0129
      2.00    0.4755    0.0130
      3.00    0.6030    0.0133
      4.00    0.7236    0.0136
      5.00    0.8355    0.0142
      8.00    1.1171    0.0181
      9.00    1.2001    0.0206
     10.00    1.2725    0.0239
     11.00    1.3396    0.0279
     12.00    1.3908    0.0332
     13.00    1.4330    0.0395
     14.00    1.4669    0.0469
     15.00    1.4889    0.0558
     16.00    1.5023    0.0658
     17.00    1.5098    0.0766
     18.00    1.5071    0.0888
     19.00    1.5042    0.1013
     20.00    1.5045    0.1136
     21.00    1.5071    0.1259
     22.00    1.5167    0.1372
     23.00    1.5305    0.1481
     24.00    1.5434    0.1591
     25.00    1.5586    0.1696
     26.00    1.5714    0.1804
     27.00    1.5885    0.1903
     28.00    1.6046    0.2001
     29.00    1.6218    0.2096
     30.00    1.6303    0.2203
     31.00    1.6432    0.2299
     32.00    1.6616    0.2384
     33.00    1.6718    0.2479
     34.00    1.6723    0.2587
     35.00    1.6784    0.2682
     36.00    1.6968    0.2753
     37.00    1.6945    0.2857
     38.00    1.6849    0.2971
     39.00    1.6886    0.3057
     40.00    1.6923    0.3135
     41.00    1.6666    0.3271
     45.00    0.7219    0.4127
