AeroDyn airfoil file Created with QBlade v0.963 64bit on 26.04.2018 at 19:35:41 Compatible with AeroDyn v13.0.
Polar "T1_Re4.000_M0.00_N9.0" on Foil "DU99W350LM" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
42.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.06          Angle of attack for zero Cn for linear Cn curve (deg)
8.21713        Cn slope for zero lift for linear Cn curve (1/rad)
1.2917         Cn at stall value for positive angle of attack for linear Cn curve
-0.6900        Cn at stall value for negative angle of attack for linear Cn curve
-1.00          Angle of attack for minimum CD (deg)
0.0083         Minimum CD value
    -25.00   -1.2726    0.1471
    -24.00   -1.2524    0.1376
    -23.00   -1.2341    0.1279
    -22.00   -1.2187    0.1178
    -21.00   -1.2042    0.1078
    -20.00   -1.1990    0.0976
    -19.00   -1.2102    0.0856
    -18.00   -1.2106    0.0749
    -17.00   -1.2197    0.0639
    -16.00   -1.1964    0.0560
    -15.00   -1.1761    0.0481
    -14.00   -1.1419    0.0415
    -13.00   -1.1040    0.0354
    -12.00   -1.0542    0.0303
    -11.00   -0.9908    0.0262
    -10.00   -0.9285    0.0220
     -9.00   -0.8631    0.0182
     -8.00   -0.7904    0.0155
     -7.00   -0.6936    0.0130
     -6.00   -0.5687    0.0110
     -5.00   -0.4284    0.0098
     -4.00   -0.2844    0.0092
     -3.00   -0.1336    0.0085
     -2.00    0.0086    0.0084
     -1.00    0.1494    0.0083
      0.00    0.2878    0.0083
      1.00    0.4257    0.0084
      2.00    0.5620    0.0085
      3.00    0.6953    0.0087
      4.00    0.8247    0.0090
      5.00    0.9526    0.0094
      6.00    1.0758    0.0099
      7.00    1.1931    0.0104
      8.00    1.3028    0.0111
      9.00    1.3859    0.0122
     10.00    1.4771    0.0136
     11.00    1.5578    0.0158
     12.00    1.6296    0.0188
     13.00    1.6739    0.0239
     14.00    1.7134    0.0298
     16.00    1.7458    0.0466
     17.00    1.7559    0.0562
     18.00    1.7451    0.0681
     19.00    1.7342    0.0803
     20.00    1.7199    0.0933
     21.00    1.7118    0.1058
     22.00    1.7060    0.1183
     23.00    1.7035    0.1305
     24.00    1.6926    0.1438
     25.00    1.6971    0.1552
     26.00    1.7016    0.1665
     27.00    1.6983    0.1789
     28.00    1.7103    0.1891
     29.00    1.7227    0.1989
     30.00    1.7273    0.2097
     31.00    1.7286    0.2209
     32.00    1.7330    0.2314
     33.00    1.7416    0.2409
     34.00    1.7456    0.2509
     35.00    1.7559    0.2595
     36.00    1.7548    0.2697
     37.00    1.7442    0.2812
     38.00    1.7480    0.2900
     39.00    1.7500    0.2988
     40.00    1.7565    0.3063
     41.00    1.7531    0.3152
     42.00    1.7715    0.3197
     43.00    1.7590    0.3294
