AeroDyn airfoil file Created with QBlade v0.963 64bit on 26.04.2018 at 19:35:40 Compatible with AeroDyn v13.0.
Polar "T1_Re1.500_M0.00_N9.0" on Foil "DU99W405LM" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
44.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.38          Angle of attack for zero Cn for linear Cn curve (deg)
6.73225        Cn slope for zero lift for linear Cn curve (1/rad)
0.7875         Cn at stall value for positive angle of attack for linear Cn curve
-0.5589        Cn at stall value for negative angle of attack for linear Cn curve
1.00           Angle of attack for minimum CD (deg)
0.0119         Minimum CD value
    -25.00   -1.1538    0.1531
    -24.00   -1.1181    0.1452
    -22.00   -1.0627    0.1287
    -21.00   -1.0371    0.1197
    -20.00   -1.0169    0.1101
    -19.00   -0.9919    0.1011
    -18.00   -0.9606    0.0929
    -17.00   -0.9204    0.0856
    -16.00   -0.8873    0.0777
    -15.00   -0.8537    0.0701
    -14.00   -0.8193    0.0627
    -13.00   -0.7765    0.0563
    -12.00   -0.7299    0.0503
    -11.00   -0.6764    0.0450
    -10.00   -0.6195    0.0401
     -9.00   -0.5603    0.0355
     -8.00   -0.4932    0.0315
     -7.00   -0.4272    0.0277
     -6.00   -0.3595    0.0243
     -5.00   -0.2909    0.0212
     -4.00   -0.2301    0.0182
     -3.00   -0.1840    0.0158
     -2.00   -0.0814    0.0141
     -1.00    0.0504    0.0129
      0.00    0.1951    0.0121
      1.00    0.3373    0.0119
      2.00    0.4667    0.0120
      3.00    0.5762    0.0125
      4.00    0.6825    0.0132
      5.00    0.7893    0.0145
      6.00    0.8849    0.0164
      7.00    0.9731    0.0190
      8.00    1.0541    0.0223
      9.00    1.1297    0.0261
     10.00    1.1855    0.0313
     11.00    1.2237    0.0381
     12.00    1.2811    0.0437
     13.00    1.3141    0.0514
     14.00    1.3504    0.0590
     15.00    1.3778    0.0677
     16.00    1.3918    0.0777
     17.00    1.4007    0.0883
     18.00    1.4112    0.0992
     19.00    1.4321    0.1089
     20.00    1.4383    0.1203
     21.00    1.4583    0.1303
     22.00    1.4810    0.1398
     23.00    1.4917    0.1508
     24.00    1.5065    0.1612
     25.00    1.5332    0.1699
     26.00    1.5533    0.1794
     27.00    1.5725    0.1888
     28.00    1.5993    0.1969
     29.00    1.6183    0.2058
     30.00    1.6341    0.2150
     31.00    1.6569    0.2229
     32.00    1.6726    0.2315
     33.00    1.6912    0.2394
     34.00    1.7215    0.2453
     35.00    1.7317    0.2537
     36.00    1.7552    0.2598
     37.00    1.7550    0.2691
     38.00    1.7868    0.2733
     39.00    1.7826    0.2825
     40.00    1.7868    0.2901
     41.00    1.8084    0.2946
     42.00    1.7958    0.3040
     43.00    1.7999    0.3105
     44.00    1.8152    0.3147
