time,x,y,z,rel_vel_mag,alpha_deg,alpha_geom_deg,cl,cd,cm
1.2,0.0246538433123,-14.9519614423,28.5850297733,38.5117004516,16.0579577478,16.9415917578,1.24600559717,0.0926371730647,1.54566516283e-301
1.6,0.0246538433123,-26.9448260508,17.7381348287,38.4540041174,15.8025104862,16.9415917578,1.23704130093,0.0915878379312,1.54566516283e-301
2,0.0246538433123,-32.1673673379,2.4342466312,38.474399517,15.9759683429,16.9415917578,1.26044884386,0.0914633693588,1.54566516283e-301
2.4,0.0246538433123,-29.3073373414,-13.4812854012,38.5103832496,15.7094086969,16.9415917578,1.25030864165,0.0904168849956,1.54566516283e-301
2.8,0.0246538433123,-19.083364853,-26.009426445,38.4666090646,15.2433096495,16.9415917578,1.22090907293,0.0891502514783,1.54566516283e-301
3.2,0.0246538433123,-4.06438831177,-32.0022784464,38.3611398123,15.0081798455,16.9415917578,1.2074920049,0.0884665736844,1.54566516283e-301
3.6,0.0246538433123,11.9758315258,-29.9540404182,38.2967313769,15.0018620391,16.9415917578,1.21213285028,0.0881796290096,1.54566516283e-301
4,0.0246538433123,25.0069300084,-20.379365291,38.305946106,14.9327228568,16.9415917578,1.21071213122,0.087889260288,1.54566516283e-301
4.4,0.0246538433123,31.7546328917,-5.68404504084,38.290898874,14.7960549471,16.9415917578,1.20324877309,0.0875225124566,1.54566516283e-301
4.8,0.0246538433123,30.5234706961,10.4394834534,38.2564297856,14.6908153694,16.9415917578,1.19853269651,0.0872168490064,1.54566516283e-301
5.2,0.0246538433123,21.6227928349,23.9399228932,38.2367467447,14.6144110881,16.9415917578,1.19617328016,0.0869610025604,1.54566516283e-301
5.6,0.0246538433123,7.28903857043,31.4250695278,38.2312624679,14.5240528227,16.9415917578,1.19254130401,0.0866880573921,1.54566516283e-301
6,0.0246538433123,-8.87620451979,31.0141592089,38.2233424463,14.4222514323,16.9415917578,1.18779842529,0.0864098505713,1.54566516283e-301
6.4,0.0246538433123,-22.8111576704,22.8104397995,38.2136472014,14.3405856161,16.9415917578,1.18441052373,0.0861659322031,1.54566516283e-301
6.8,0.0246538433123,-31.0144385335,8.87522847939,38.2114022177,14.2732383234,16.9415917578,1.18168363129,0.0859468108885,1.54566516283e-301
7.2,0.0246538433123,-31.4248401214,-7.29002753444,38.2106660239,14.1908890419,16.9415917578,1.17697089969,0.0857003032326,1.54566516283e-301
7.6,0.0246538433123,-23.9392423978,-21.6235462293,38.1994200529,14.0841687719,16.9415917578,1.16898165434,0.0854344669206,1.54566516283e-301
8,0.0246538433123,-10.4385228545,-30.5237992184,38.1516183621,13.9838367294,16.9415917578,1.16014075912,0.0852287415874,1.54566516283e-301
8.4,0.0246538433123,5.68504437722,-31.7544539953,38.064281966,13.9845621903,16.9415917578,1.15932046955,0.0852226499698,1.54566516283e-301
8.8,0.0246538433123,20.3801522655,-25.006288644,38.0416771055,14.0724708994,16.9415917578,1.16618381482,0.0853621322722,1.54566516283e-301
9.2,0.0246538433123,29.9544172907,-11.9748888465,38.0565471447,14.1317726964,16.9415917578,1.1708444807,0.0854821540847,1.54566516283e-301
9.6,0.0246538433123,32.0021505216,4.06539544252,38.0660806931,14.1413604811,16.9415917578,1.17237509094,0.0855017246723,1.54566516283e-301
10,0.0246538433123,26.0088258661,19.0841833773,38.0756357676,14.1196796115,16.9415917578,1.17221543951,0.0854480383453,1.54566516283e-301
10.4,0.0246538433123,13.4803630734,29.3077615918,38.0886920476,14.0770089309,16.9415917578,1.17095818798,0.0853484941691,1.54566516283e-301
10.8,0.0246538433123,-2.43525895822,32.1672907146,38.1040531598,14.0199825087,16.9415917578,1.16906605799,0.0852038167992,1.54566516283e-301
11.2,0.0246538433123,-17.7389827913,26.9442678067,38.120413999,13.9538157691,16.9415917578,1.16658371347,0.0850231764769,1.54566516283e-301
11.6,0.0246538433123,-28.5855003072,14.9510618452,38.1370927629,13.8872366037,16.9415917578,1.16369970191,0.0848362542768,1.54566516283e-301
12,0.0246538433123,-32.2494485602,-0.79884020704,38.1486677611,13.8144447525,16.9415917578,1.15946584193,0.0846263282338,1.54566516283e-301
12.4,0.0246538433123,-27.810201295,-16.3480207377,38.150893508,13.7322816933,16.9415917578,1.15312929585,0.084419976323,1.54566516283e-301
12.8,0.0246538433123,-16.3831911827,-27.789496663,38.1220295428,13.6549018347,16.9415917578,1.14535161352,0.0842530665362,1.54566516283e-301
13.2,0.0246538433123,-0.839639321847,-32.2484121147,38.0275327103,13.6388489439,16.9415917578,1.14142051069,0.0842425055048,1.54566516283e-301
13.6,0.0246538433123,14.914885498,-28.604392472,37.9508682922,13.7445352049,16.9415917578,1.14790301349,0.0844416687421,1.54566516283e-301
14,0.0246538433123,26.9218041194,-17.7730566045,37.9528331888,13.8559024981,16.9415917578,1.1552928305,0.0846794433358,1.54566516283e-301
14.4,0.0246538433123,32.164184052,-2.47595282306,37.9764567617,13.9082492795,16.9415917578,1.15928232029,0.0847970446563,1.54566516283e-301
14.8,0.0246538433123,29.324792553,13.4432741485,38.001421042,13.9084019379,16.9415917578,1.16048188081,0.0848079373006,1.54566516283e-301
15.2,0.0246538433123,19.117072658,25.9846610734,38.0290759489,13.8712288601,16.9415917578,1.15997148249,0.0847233671528,1.54566516283e-301
15.6,0.0246538433123,4.10587907894,31.9969816561,38.0587941734,13.8126699489,16.9415917578,1.15843330124,0.0845858018808,1.54566516283e-301
16,0.0246538433123,-11.9369830227,29.9695431134,38.088721449,13.7361056662,16.9415917578,1.15593163483,0.0843928406312,1.54566516283e-301
16.4,0.0246538433123,-24.9804850841,20.4117721688,38.1177364013,13.6587041136,16.9415917578,1.15290372039,0.084193866743,1.54566516283e-301
16.8,0.0246538433123,-31.7472362611,5.72521334909,38.1407732307,13.5817882505,16.9415917578,1.14886770136,0.0839907613201,1.54566516283e-301
17.2,0.0246538433123,-30.5369808823,-10.3998979179,38.1531645119,13.5036483374,16.9415917578,1.14313761771,0.0837912879074,1.54566516283e-301
17.6,0.0246538433123,-21.6538151851,-23.9118666365,38.1393003429,13.4342555834,16.9415917578,1.13590526904,0.0836420653723,1.54566516283e-301
18,0.0246538433123,-7.32977821738,-31.4155921382,38.0575104533,13.40473879,16.9415917578,1.12992323831,0.0836185486365,1.54566516283e-301
18.4,0.0246538433123,8.83598407124,-31.0256420337,37.932919798,13.4930211914,16.9415917578,1.13355271983,0.0837992905604,1.54566516283e-301
18.8,0.0246538433123,22.7815624584,-22.8399975934,37.8970488782,13.6366976793,16.9415917578,1.14254620883,0.084080598957,1.54566516283e-301
19.2,0.0246538433123,31.0029048338,-8.91543436849,37.9187197304,13.724739418,16.9415917578,1.14834184819,0.0842733715448,1.54566516283e-301
19.6,0.0246538433123,31.4342659625,7.24927592995,37.9514420545,13.7480049015,16.9415917578,1.15091613227,0.0843238424569,1.54566516283e-301
20,0.0246538433123,23.9672593847,21.5924884091,37.9883891449,13.7197674333,16.9415917578,1.15105238283,0.0842656069921,1.54566516283e-301
20.4,0.0246538433123,10.4780912661,30.5102389622,38.0279358761,13.6615935379,16.9415917578,1.14989155217,0.0841357356602,1.54566516283e-301
20.8,0.0246538433123,-5.64386674421,31.7617985367,38.068272684,13.5815377276,16.9415917578,1.14756395971,0.0839571064592,1.54566516283e-301
21.2,0.0246538433123,-20.3477119573,25.0326925482,38.1070787731,13.4964833076,16.9415917578,1.14445723246,0.0837566855775,1.54566516283e-301
21.6,0.0246538433123,-29.9388654595,12.0137177055,38.1392896507,13.4155207492,16.9415917578,1.14072580807,0.0835621039195,1.54566516283e-301
22,0.0246538433123,-32.0073948165,-4.02389800743,38.1611993634,13.3410557829,16.9415917578,1.13580914953,0.0833751502454,1.54566516283e-301
22.4,0.0246538433123,-26.0335485731,-19.0504442679,38.1615815134,13.2752676305,16.9415917578,1.12935598049,0.0832253452449,1.54566516283e-301
22.8,0.0246538433123,-13.5183522125,-29.2902583049,38.1070822712,13.2398536053,16.9415917578,1.12286610018,0.0831723769088,1.54566516283e-301
23.2,0.0246538433123,2.39354877247,-32.1704212342,37.9676555957,13.2898775293,16.9415917578,1.12233216529,0.0833010366225,1.54566516283e-301
23.6,0.0246538433123,17.7040319178,-26.9672455391,37.8804218789,13.4501994374,16.9415917578,1.13153127199,0.0836138126441,1.54566516283e-301
24,0.0246538433123,28.566090718,-14.9881132635,37.886142068,13.572868674,16.9415917578,1.13908185203,0.0838667960398,1.54566516283e-301
24.4,0.0246538433123,32.2504572286,0.757024870905,37.920177131,13.6252680597,16.9415917578,1.1430486249,0.083980247109,1.54566516283e-301
24.8,0.0246538433123,27.8313747768,16.3119482632,37.9611313284,13.6122444501,16.9415917578,1.14396709052,0.0839607965648,1.54566516283e-301
25.2,0.0246538433123,16.4192092981,27.7682308427,38.006110008,13.5612516189,16.9415917578,1.1432476289,0.083857244792,1.54566516283e-301
