AeroDyn airfoil file Created with QBlade v0.963 64bit on 26.04.2018 at 19:35:41 Compatible with AeroDyn v13.0.
Polar "T1_Re8.000_M0.00_N9.0" on Foil "DU97W300LM" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
17.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.24          Angle of attack for zero Cn for linear Cn curve (deg)
7.61959        Cn slope for zero lift for linear Cn curve (1/rad)
-1.1022        Cn at stall value for positive angle of attack for linear Cn curve
-1.1407        Cn at stall value for negative angle of attack for linear Cn curve
-3.00          Angle of attack for minimum CD (deg)
0.0068         Minimum CD value
    -25.00   -1.1787    0.1714
    -24.00   -1.1331    0.1650
    -23.00   -1.1010    0.1566
    -22.00   -1.0589    0.1494
    -21.00   -1.0290    0.1404
    -20.00   -0.9998    0.1313
    -19.00   -0.9692    0.1225
    -18.00   -0.9610    0.1109
    -17.00   -1.0055    0.0936
    -16.00   -1.0895    0.0737
    -15.00   -1.2365    0.0494
    -14.00   -1.3867    0.0273
    -13.00   -1.4360    0.0136
    -12.00   -1.3186    0.0105
    -11.00   -1.1799    0.0087
    -10.00   -1.0410    0.0080
     -9.00   -0.9046    0.0075
     -8.00   -0.7717    0.0073
     -7.00   -0.6384    0.0072
     -6.00   -0.5036    0.0070
     -5.00   -0.3688    0.0069
     -4.00   -0.2346    0.0068
     -3.00   -0.1013    0.0068
     -2.00    0.0313    0.0068
     -1.00    0.1644    0.0069
      0.00    0.2971    0.0069
      2.00    0.5577    0.0072
      3.00    0.6878    0.0074
      4.00    0.8167    0.0076
      5.00    0.9444    0.0078
      6.00    1.0700    0.0081
      7.00    1.1912    0.0086
      9.00    1.3939    0.0117
     10.00    1.4820    0.0133
     11.00    1.5424    0.0151
     12.00    1.6073    0.0174
     13.00    1.6684    0.0206
     14.00    1.7016    0.0263
     15.00    1.7346    0.0330
     16.00    1.7569    0.0413
     17.00    1.7613    0.0520
     18.00    1.7306    0.0670
     19.00    1.7003    0.0827
     20.00    1.6715    0.0986
     21.00    1.6502    0.1139
     22.00    1.6429    0.1277
     23.00    1.6491    0.1396
     24.00    1.6514    0.1521
     25.00    1.6556    0.1644
     26.00    1.6628    0.1762
     27.00    1.6778    0.1866
     28.00    1.6924    0.1969
     29.00    1.7019    0.2078
     30.00    1.7018    0.2202
     31.00    1.7117    0.2307
     32.00    1.7132    0.2425
     33.00    1.7185    0.2532
     34.00    1.7133    0.2657
     35.00    1.7068    0.2782
     36.00    1.7044    0.2897
     37.00    1.6986    0.3016
     38.00    1.6994    0.3118
     39.00    1.6946    0.3231
     40.00    1.6816    0.3357
     41.00    1.6633    0.3494
     42.00    1.6594    0.3590
