AeroDyn airfoil file Created with QBlade v0.963 64bit on 26.04.2018 at 19:35:40 Compatible with AeroDyn v13.0.
Polar "T1_Re1.500_M0.00_N9.0" on Foil "DU99W350LM" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
42.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.70          Angle of attack for zero Cn for linear Cn curve (deg)
8.08958        Cn slope for zero lift for linear Cn curve (1/rad)
1.0981         Cn at stall value for positive angle of attack for linear Cn curve
-0.5417        Cn at stall value for negative angle of attack for linear Cn curve
1.00           Angle of attack for minimum CD (deg)
0.0104         Minimum CD value
    -25.00   -1.2237    0.1523
    -24.00   -1.2035    0.1427
    -23.00   -1.1813    0.1332
    -22.00   -1.1702    0.1226
    -21.00   -1.1625    0.1116
    -20.00   -1.1491    0.1015
    -19.00   -1.1588    0.0891
    -18.00   -1.1510    0.0789
    -17.00   -1.1396    0.0702
    -16.00   -1.1182    0.0619
    -15.00   -1.0897    0.0544
    -14.00   -1.0506    0.0480
    -13.00   -1.0065    0.0421
    -12.00   -0.9480    0.0374
    -11.00   -0.8896    0.0328
    -10.00   -0.8317    0.0283
     -9.00   -0.7668    0.0243
     -8.00   -0.6889    0.0213
     -7.00   -0.6124    0.0185
     -6.00   -0.5430    0.0160
     -5.00   -0.4405    0.0144
     -4.00   -0.3210    0.0128
     -3.00   -0.1863    0.0118
     -2.00   -0.0437    0.0110
     -1.00    0.1031    0.0105
      0.00    0.2428    0.0104
      1.00    0.3800    0.0104
      2.00    0.5163    0.0105
      3.00    0.6481    0.0107
      4.00    0.7741    0.0111
      5.00    0.8952    0.0116
      6.00    1.0118    0.0121
      7.00    1.1048    0.0129
      8.00    1.2022    0.0142
      9.00    1.2944    0.0158
     10.00    1.3753    0.0183
     11.00    1.4481    0.0216
     12.00    1.5088    0.0260
     13.00    1.5543    0.0316
     14.00    1.5882    0.0386
     15.00    1.6095    0.0470
     16.00    1.6184    0.0569
     17.00    1.6112    0.0687
     18.00    1.6010    0.0812
     19.00    1.5819    0.0951
     20.00    1.5711    0.1084
     21.00    1.5713    0.1206
     22.00    1.5665    0.1335
     23.00    1.5790    0.1444
     24.00    1.5825    0.1564
     25.00    1.5916    0.1675
     26.00    1.5994    0.1789
     27.00    1.6068    0.1901
     28.00    1.6272    0.1993
     29.00    1.6415    0.2091
     30.00    1.6517    0.2194
     31.00    1.6623    0.2293
     32.00    1.6767    0.2384
     33.00    1.6841    0.2483
     34.00    1.6886    0.2583
     35.00    1.6984    0.2672
     36.00    1.7051    0.2762
     37.00    1.7085    0.2855
     38.00    1.7107    0.2946
     39.00    1.7193    0.3023
     40.00    1.7281    0.3094
     41.00    1.7302    0.3175
     42.00    1.7432    0.3227
     43.00    1.7382    0.3310
