AeroDyn airfoil file Created with QBlade v0.963 64bit on 26.04.2018 at 19:35:40 Compatible with AeroDyn v13.0.
Polar "T1_Re20.000_M0.00_N9.0" on Foil "DU99W405LM" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
45.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.08          Angle of attack for zero Cn for linear Cn curve (deg)
8.55609        Cn slope for zero lift for linear Cn curve (1/rad)
1.2103         Cn at stall value for positive angle of attack for linear Cn curve
-0.5607        Cn at stall value for negative angle of attack for linear Cn curve
-1.00          Angle of attack for minimum CD (deg)
0.0078         Minimum CD value
    -25.00   -1.3370    0.1348
    -24.00   -1.3099    0.1264
    -23.00   -1.2844    0.1178
    -22.00   -1.2665    0.1085
    -21.00   -1.2474    0.0994
    -19.00   -1.1848    0.0838
    -18.00   -1.1716    0.0746
    -17.00   -1.1235    0.0685
    -16.00   -1.0894    0.0614
    -15.00   -1.0690    0.0534
    -14.00   -1.0269    0.0473
    -13.00   -0.9840    0.0414
    -12.00   -0.9337    0.0362
    -11.00   -0.8882    0.0308
    -10.00   -0.8173    0.0272
     -9.00   -0.7592    0.0229
     -8.00   -0.7079    0.0184
     -7.00   -0.6353    0.0153
     -6.00   -0.5625    0.0126
     -5.00   -0.4409    0.0101
     -4.00   -0.2977    0.0093
     -3.00   -0.1427    0.0085
     -2.00    0.0127    0.0079
     -1.00    0.1580    0.0078
      0.00    0.3009    0.0079
      1.00    0.4411    0.0080
      2.00    0.5836    0.0080
      3.00    0.7211    0.0082
      4.00    0.8530    0.0085
      5.00    0.9790    0.0089
      6.00    1.1038    0.0093
      7.00    1.2182    0.0097
      8.00    1.2952    0.0111
      9.00    1.3901    0.0126
     10.00    1.4759    0.0149
     11.00    1.5543    0.0179
     12.00    1.6199    0.0218
     13.00    1.6638    0.0273
     14.00    1.7015    0.0337
     15.00    1.7246    0.0415
     16.00    1.7236    0.0514
     17.00    1.7097    0.0628
     18.00    1.7163    0.0729
     19.00    1.7252    0.0828
     20.00    1.7351    0.0929
     21.00    1.7613    0.1013
     22.00    1.7741    0.1112
     23.00    1.7987    0.1196
     24.00    1.8236    0.1281
     25.00    1.7700    0.1453
     26.00    1.7786    0.1555
     27.00    1.7677    0.1680
     28.00    1.7824    0.1774
     29.00    1.7938    0.1869
     30.00    1.8139    0.1951
     33.00    1.8397    0.2229
     35.00    1.8536    0.2406
     36.00    1.8505    0.2504
     37.00    1.8538    0.2590
     39.00    1.8961    0.2702
     40.00    1.8936    0.2787
     41.00    1.8854    0.2876
     42.00    1.8784    0.2961
     43.00    1.8738    0.3039
     44.00    1.8742    0.3105
     45.00    1.8993    0.3130
