AeroDyn airfoil file Created with QBlade v0.963 64bit on 26.04.2018 at 19:35:40 Compatible with AeroDyn v13.0.
Polar "T1_Re3.000_M0.00_N9.0" on Foil "DU99W405LM" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
44.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.65          Angle of attack for zero Cn for linear Cn curve (deg)
8.02085        Cn slope for zero lift for linear Cn curve (1/rad)
-0.3453        Cn at stall value for positive angle of attack for linear Cn curve
-0.4924        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0100         Minimum CD value
    -25.00   -1.1924    0.1495
    -24.00   -1.1630    0.1418
    -23.00   -1.1308    0.1336
    -22.00   -1.1080    0.1243
    -21.00   -1.0828    0.1154
    -20.00   -1.0633    0.1059
    -19.00   -1.0330    0.0976
    -18.00   -1.0037    0.0893
    -17.00   -0.9707    0.0814
    -16.00   -0.9498    0.0727
    -15.00   -0.9126    0.0655
    -14.00   -0.8752    0.0586
    -13.00   -0.8289    0.0526
    -12.00   -0.7719    0.0475
    -10.00   -0.6722    0.0367
     -9.00   -0.6158    0.0320
     -8.00   -0.5562    0.0277
     -7.00   -0.4932    0.0238
     -6.00   -0.4203    0.0206
     -5.00   -0.3451    0.0180
     -4.00   -0.3006    0.0148
     -3.00   -0.1933    0.0126
     -2.00   -0.0531    0.0111
     -1.00    0.0974    0.0103
      0.00    0.2462    0.0100
      1.00    0.3849    0.0101
      2.00    0.5181    0.0103
      3.00    0.6484    0.0106
      4.00    0.7674    0.0111
      5.00    0.8617    0.0118
      6.00    0.9674    0.0130
      7.00    1.0696    0.0145
      8.00    1.1556    0.0170
      9.00    1.2403    0.0200
     10.00    1.3146    0.0236
     11.00    1.3772    0.0282
     12.00    1.4207    0.0343
     13.00    1.4631    0.0409
     14.00    1.4935    0.0485
     15.00    1.5101    0.0575
     16.00    1.5186    0.0675
     17.00    1.5372    0.0767
     18.00    1.5326    0.0885
     19.00    1.5507    0.0982
     20.00    1.5534    0.1095
     21.00    1.5470    0.1220
     22.00    1.5534    0.1332
     23.00    1.5703    0.1431
     24.00    1.5703    0.1551
     25.00    1.5771    0.1662
     27.00    1.6123    0.1853
     28.00    1.6335    0.1940
     29.00    1.6488    0.2033
     30.00    1.6780    0.2106
     31.00    1.6865    0.2204
     32.00    1.6951    0.2299
     33.00    1.7151    0.2375
     34.00    1.7284    0.2458
     35.00    1.7613    0.2509
     36.00    1.7706    0.2591
     37.00    1.7906    0.2653
     38.00    1.7949    0.2736
     39.00    1.8175    0.2788
     40.00    1.8243    0.2859
     41.00    1.8235    0.2938
     42.00    1.8263    0.3008
     43.00    1.8287    0.3075
     44.00    1.8494    0.3110
