//(AoA  40000   60000   80000   100000  120000  300000)
(-10  1.47420e-1  1.35600e-1  1.31660e-1   1.31004e-1   1.30648e-1  1.10647e-1  )
(-8	  1.22139e-1  1.18527e-1  1.17542e-1   1.15901e-1   1.14794e-1  9.75141e-2  )
(-6	  6.86210e-2  5.64728e-2  5.05629e-2   4.59662e-2   4.17648e-2  3.51313e-2  )
(-4	  5.05629e-2  3.87430e-2  3.08630e-2   2.72514e-2   2.28000e-2  2.06848e-2  )
(-2	  6.36961e-2  5.35178e-2  4.72795e-2   3.57880e-2   2.50422e-2  2.13415e-2  )
(0	  6.53377e-2  5.64728e-2  4.33396e-2   2.92214e-2   2.43552e-2  2.03565e-2  )
(2	  7.05910e-2  6.43527e-2  4.36679e-2   2.98780e-2   2.41999e-2  2.03565e-2  )
(4	  7.94559e-2  7.42026e-2  7.05910e-2   3.15197e-2   2.49779e-2  2.13415e-2  )
(6	  9.52158e-2  8.66792e-2  4.49812e-2   3.08630e-2   2.49209e-2  2.10131e-2  )
(8	  1.13931e-1  4.85929e-2  3.64447e-2   2.79081e-2   2.15380e-2  1.80582e-2  )
(10	  1.44465e-1  5.22045e-2  4.20263e-2   3.74296e-2   3.33932e-2  2.85647e-2  )
(12	  1.96341e-1  7.28893e-2  6.07411e-2   5.08912e-2   4.41605e-2  3.74296e-2  )
(14	  2.28846e-1  1.02767e-1  9.22608e-2   1.01454e-1   9.23583e-2  7.81426e-2  )
(16	  2.17683e-1  2.24578e-1  2.32129e-1   2.33114e-1   1.13173e-1  9.62008e-2  )
(18	  2.26548e-1  2.42308e-1  2.46248e-1   2.52814e-1   2.52503e-1  2.14728e-1  )
(20	  2.22280e-1  2.32786e-1  2.28846e-1   2.37711e-1   2.37323e-1  2.01923e-1  )
